text,label
I bought my Kindle about 2 months ago and the battery is already dead and will not charge,0
Good product for child. Who only need to read the books,1
Loved it!,1
Does not work all the time,0
Love the simplicity. Also love that I use it for reading only and can't download distracting apps.,1
The Amazon Kindle is light weight and easy to use.,1
I Love this I don't even have to turn on my tv I just talk to Alex a and she does what I tell her.,1
Thanks for the display version of Alexa - I love this model.,1
"The sound quality is not that good, especially for the price that you pay for this. I would recommend to get the Echo Dot and buy a better speaker instead. Maybe Sonos and use the Echo dot",0
Perfect!!!,1
Love my Echo!,1
Love it little much,
"Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.",0
"I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.",1
"Haven’t set it up yet but really looking forward to using it. I have a regular Alexa and love that ,so This should be even better!",1
I would recommend to get the Echo Dot and buy a better speaker instead. Maybe Sonos and use the Echo dot.,0
"hell,""$Product.",0
"I will be returning this piece of garbage as soon as possible. With my lifetime Amazon spending approaching nearly $40,000, ",0
So  convenient ! ,1
Bad,0
Does not work all the time. It is bad,0
I've already returned it. So bad product it is.,0
